task_uid,grade,level,theme_id,solution_style,status,current_stage,error_code,provider,model,llm_calls,fast_path_used,fallback_to_two_call,audit_executed,structured_json_used,base_attempts,aux_attempts,has_aux,aux_reason,aux_status,aux_fail_codes,soft_warnings,base_ops_count,aux_ops_count,base_points_count,aux_points_count,svg_bytes_base,svg_bytes_aux,total_latency_ms,cost_usd,prompt_tokens,completion_tokens
GEN-L123-par27_s2-428077da17e93ad0,9,3,G9_T16,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,14,0,6,0,3957,0,28949.1,0.00264172,6696,758
GEN-L123-w2_71_s6-5a9cdd7e0b9df013,9,1,G9_T18,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",4,0,0,1,0,2,1,1,"Для применения теоремы Фалеса и свойства средней линии требуется построить вспомогательную прямую через точку D, параллельную AF.",AUX_BUILD_FAILED,"{""engine_violations"": [""[parallel_line] 'aux_line_DK': Неизвестный тип построения: parallel_line""]}",,12,3,6,0,3284,0,78243.9,0.00667728,9294,3789
RG2-04a8ef202822bb265b56bc33,10,2,G10_T16,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,22,0,11,0,5114,0,29917.0,0.00286913,6919,910
GEN-L123-w2_123r_s2-3b807a85021b3cfc,7,2,G7_T18,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash",5,0,0,1,0,1,3,1,"Для построения точки D', центрально симметричной точке D относительно C, как указано в решении.",AUX_BUILT,,,11,1,4,1,2448,2783,249094.8,0.00891567,14431,4563
REG-d8cd9f277c05383990b58e13,8,2,G8_T16,constructive,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-pro,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,421440.9,0.00562835,10025,2656
GEN-L123-w2_22_s4-a9c808a8dfb635e1,7,1,G7_T18,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,1,0,2,1,1,Для применения свойств равнобедренных треугольников ABC и ADC необходимо провести диагональ AC.,AUX_BUILT,,,9,1,4,0,2951,3089,108203.7,0.00392843,9009,1360
2908b8065bf4e2557a33776c6910d776d8d136d2868f397a5e595622fdf4262c,9,3,G9_T16,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,100,0,100,0,0,0,16930.6,0.00366058,2024,2831
0d6906742da7dcdbf7993bd4b9b4ba15e42fa241098a8237a6d07be48344e02f,11,4,G11_T18,constructive,failed,aux_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,1,3,0,,AUX_PLAN_REJECTED,"{""codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""], ""last_errors"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION: aux[0] 'aux_line_l1' (line) must have an explicit construction action in solution_evidence.quote"", ""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION: aux[1] 'aux_line_l2' (line) must have an expli",,17,0,8,0,4075,0,221152.6,0.01399586,17048,8539
REG-4b14f342d2a6f7a6331ee49b,9,2,G9_T18,constructive,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,12,0,6,0,3554,0,6241.8,0.00234529,6197,611
GEN-L123-par27_s6-2b10669528a0cfe7,11,1,G11_T19,constructive,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,9,0,4,0,2691,0,6039.3,0.00195757,5091,530
