task_uid,grade,level,theme_id,solution_style,status,current_stage,error_code,provider,model,llm_calls,fast_path_used,fallback_to_two_call,audit_executed,structured_json_used,base_attempts,aux_attempts,has_aux,aux_reason,aux_status,aux_fail_codes,soft_warnings,base_fail_codes,extracted_steps_count,compiled_ops_count,base_ops_count,aux_ops_count,base_points_count,aux_points_count,svg_bytes_base,svg_bytes_aux,total_latency_ms,cost_usd,prompt_tokens,completion_tokens
GEN-L123-par27_s2-428077da17e93ad0,9,3,G9_T16,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,12,0,6,0,3632,0,9079.2,0.00193951,4633,626
GEN-L123-w2_71_s6-5a9cdd7e0b9df013,9,1,G9_T18,constructive,done,done,,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,,1,0,12,0,6,0,3347,0,117485.4,0.00263605,5355,1082
REG-d8cd9f277c05383990b58e13,8,2,G8_T16,constructive,failed,base_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,BASE_VALIDATION,0,0,0,0,0,0,0,0,401301.1,0.00530055,10025,2358
GEN-L123-w2_123r_s2-3b807a85021b3cfc,7,2,G7_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,11,0,4,0,2511,0,7869.2,0.00158377,3401,605
0d6906742da7dcdbf7993bd4b9b4ba15e42fa241098a8237a6d07be48344e02f,11,4,G11_T18,constructive,done,done,,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,,0,0,18,0,8,0,4403,0,113627.1,0.00332889,6817,1353
GEN-L123-w2_22_s4-a9c808a8dfb635e1,7,1,G7_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,3,0,0,1,0,1,1,1,,AUX_BUILT,,,,1,1,12,1,4,0,3580,3946,12188.0,0.00230455,5105,842
2908b8065bf4e2557a33776c6910d776d8d136d2868f397a5e595622fdf4262c,9,3,G9_T16,constructive,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,Проверка 3 (расстояние): точки 'P4' и 'P80' слишком близко (0.0 < 8.0)|Проверка 3 (расстояние): точки 'P5' и 'P81' слишком близко (0.0 < 8.0)|Проверка 3 (расстояние): точки 'P6' и 'P95' слишком близко (0.0 < 8.0)|Проверка 3 (расстояние): точки 'P7' и 'P78' слишком близко (0.0 < 8.0)|Проверка 3 (расстояние): точки 'P8' и 'P79' слишком близко (0.0 < 8.0)|Проверка 3 (расстояние): точки 'P10' и 'P84' слишком близко (0.0 < 8.0)|Проверка 3 (расстояние): точки 'P11' и 'P85' слишком близко (0.0 < 8.0)|П,HARD_POINT_DIST,0,0,100,0,100,0,0,0,16261.0,0.00365838,2024,2829
RG2-04a8ef202822bb265b56bc33,10,2,G10_T16,constructive,failed,base_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,BASE_VALIDATION,0,0,0,0,0,0,0,0,446781.1,0.00780795,10365,4554
GEN-fill_0558,8,4,G8_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,Проверка 2 (подпись/отрезок): label 'M' пересекает segment 'BC',,0,0,15,0,6,0,3732,0,8896.0,0.00176897,3761,685
REG-4b14f342d2a6f7a6331ee49b,9,2,G9_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,14,0,6,0,4017,0,8593.7,0.00180964,4262,599
