job_id,replace_id,grade,difficulty,method_code,reason
semantic-replace-0001,10-A1-4-L8-gh3,10,8,OLY,semantic_template_repetition_high_level
semantic-replace-0002,10-A3-2-L7-gh3,10,7,A3,semantic_template_repetition_high_level
semantic-replace-0003,10-A3-2-L8-gtop2,10,8,A3,semantic_template_repetition_high_level
semantic-replace-0004,10-B1-3-L6-g911,10,6,B1,semantic_template_repetition_high_level
semantic-replace-0005,10-B2-1-L6-g911,10,6,B2,semantic_template_repetition_high_level
semantic-replace-0006,10-B2-2-L6-g911,10,6,B2,semantic_template_repetition_high_level
semantic-replace-0007,10-B3-1-L6-gh3,10,6,B3,semantic_template_repetition_high_level
semantic-replace-0008,10-B3-2-L6-g911,10,6,B3,semantic_template_repetition_high_level
semantic-replace-0009,10-C1-1-L6-gh3,10,6,C1,semantic_template_repetition_high_level
semantic-replace-0010,10-C1-2-L7-gh3,10,7,C1,semantic_template_repetition_high_level
semantic-replace-0011,10-C1-2-L8-gh5,10,8,C1,semantic_template_repetition_high_level
semantic-replace-0012,10-C1-21,10,6,C1,semantic_template_repetition_high_level
semantic-replace-0013,10-C1-23,10,6,C1,semantic_template_repetition_high_level
semantic-replace-0014,10-C1-25,10,7,C1,semantic_template_repetition_high_level
semantic-replace-0015,10-C1-L6-fill-0276,10,6,C1,semantic_template_repetition_high_level
semantic-replace-0016,10-C2-L7-fill-0291,10,7,C2,semantic_template_repetition_high_level
semantic-replace-0017,10-C3-1-L8-gh3,10,8,C3,semantic_template_repetition_high_level
semantic-replace-0018,10-C3-2-L8-gh3,10,8,C3,semantic_template_repetition_high_level
semantic-replace-0019,10-C3-3-L8-gh3,10,8,C3,semantic_template_repetition_high_level
semantic-replace-0020,10-C3-L8-fill-0296,10,8,C3,semantic_template_repetition_high_level
semantic-replace-0021,10-C4-22,10,7,C1,semantic_template_repetition_high_level
semantic-replace-0022,10-C5a-21,10,7,B3,semantic_template_repetition_high_level
semantic-replace-0023,10-C5a-23,10,6,B2,semantic_template_repetition_high_level
semantic-replace-0024,10-C5a-24,10,7,E1,semantic_template_repetition_high_level
semantic-replace-0025,10-C5a-25,10,6,C1,semantic_template_repetition_high_level
semantic-replace-0026,10-C6-22,10,6,B3,semantic_template_repetition_high_level
semantic-replace-0027,10-C6-24,10,6,C3,semantic_template_repetition_high_level
semantic-replace-0028,10-D1-1-L6-g911,10,6,D1,semantic_template_repetition_high_level
semantic-replace-0029,10-D1-3-L8-g911,10,8,OLY,semantic_template_repetition_high_level
semantic-replace-0030,10-D3-5-L8-g911,10,8,OLY,semantic_template_repetition_high_level
semantic-replace-0031,10-E2-1-L7-g911,10,7,E2,semantic_template_repetition_high_level
semantic-replace-0032,10-E2-2-L7-g911,10,7,E2,semantic_template_repetition_high_level
semantic-replace-0033,10-E2-2-L8-g911,10,8,E2,semantic_template_repetition_high_level
semantic-replace-0034,10-E2-3-L8-g911,10,8,E2,semantic_template_repetition_high_level
semantic-replace-0035,10-E2-4-L7-g911,10,7,E2,semantic_template_repetition_high_level
semantic-replace-0036,10-F1-3-L8-g911,10,8,OLY,semantic_template_repetition_high_level
semantic-replace-0037,10-F2-1-L6-gh3,10,6,F2,semantic_template_repetition_high_level
semantic-replace-0038,10-F2-2-L6-gh3,10,6,F2,semantic_template_repetition_high_level
semantic-replace-0039,10-F2-3-L6-g911,10,6,F2,semantic_template_repetition_high_level
semantic-replace-0040,10-F3-1-L8-g911,10,8,OLY,semantic_template_repetition_high_level
semantic-replace-0041,10-F3-2-L6-g911,10,6,F3,semantic_template_repetition_high_level
semantic-replace-0042,10-G1-2-L7-gst2,10,7,G1,semantic_template_repetition_high_level
semantic-replace-0043,10-G1-4-L7-gst2,10,7,OLY,semantic_template_repetition_high_level
semantic-replace-0044,10-G2-10-L6-gf,10,6,G2,semantic_template_repetition_high_level
semantic-replace-0045,10-G2-6-L6-gf,10,6,G2,semantic_template_repetition_high_level
semantic-replace-0046,10-G2-7-L6-gf,10,6,G2,semantic_template_repetition_high_level
semantic-replace-0047,10-G2-8-L6-gf,10,6,G2,semantic_template_repetition_high_level
semantic-replace-0048,10-G2-9-L6-gf,10,6,G2,semantic_template_repetition_high_level
semantic-replace-0049,11-A1-L6-fill-0374,11,6,A1,semantic_template_repetition_high_level
semantic-replace-0050,11-A2-5-L8-gh6,11,8,A2,semantic_template_repetition_high_level
semantic-replace-0051,11-B3-1-L6-gh3,11,6,B3,semantic_template_repetition_high_level
semantic-replace-0052,11-B3-3-L6-g911,11,6,B3,semantic_template_repetition_high_level
semantic-replace-0053,11-C1-3-L8-gh5,11,8,C1,semantic_template_repetition_high_level
semantic-replace-0054,11-C2-1-L8-gh3,11,8,C2,semantic_template_repetition_high_level
semantic-replace-0055,11-C2-2-L8-gh3,11,8,C2,semantic_template_repetition_high_level
semantic-replace-0056,11-C2-3-L8-gh3,11,8,C2,semantic_template_repetition_high_level
semantic-replace-0057,11-C3-1-L7-gh3,11,7,C3,semantic_template_repetition_high_level
semantic-replace-0058,11-C3-1-L8-gh3,11,8,C3,semantic_template_repetition_high_level
semantic-replace-0059,11-C3-1-L8-gst2,11,8,C3,semantic_template_repetition_high_level
semantic-replace-0060,11-C3-2-L7-gh3,11,7,C3,semantic_template_repetition_high_level
semantic-replace-0061,11-C3-2-L8-gh3,11,8,C3,semantic_template_repetition_high_level
semantic-replace-0062,11-C3-3-L7-gh3,11,7,C3,semantic_template_repetition_high_level
semantic-replace-0063,11-C3-3-L8-gh3,11,8,C3,semantic_template_repetition_high_level
semantic-replace-0064,11-C3-4-L8-gh3,11,8,C3,semantic_template_repetition_high_level
semantic-replace-0065,11-C4-10,11,6,B2,semantic_template_repetition_high_level
semantic-replace-0066,11-C4-11,11,7,C1,semantic_template_repetition_high_level
semantic-replace-0067,11-C4-12,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0068,11-C4-14,11,7,B2,semantic_template_repetition_high_level
semantic-replace-0069,11-C4-17,11,6,A2,semantic_template_repetition_high_level
semantic-replace-0070,11-C4-19,11,6,B2,semantic_template_repetition_high_level
semantic-replace-0071,11-C4-20,11,7,A3,semantic_template_repetition_high_level
semantic-replace-0072,11-C4-22,11,7,B2,semantic_template_repetition_high_level
semantic-replace-0073,11-C4-3,11,7,D1,semantic_template_repetition_high_level
semantic-replace-0074,11-C4-4,11,7,B2,semantic_template_repetition_high_level
semantic-replace-0075,11-C4-5,11,7,C1,semantic_template_repetition_high_level
semantic-replace-0076,11-C4-8,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0077,11-C5-22,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0078,11-C5a-21,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0079,11-C5a-23,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0080,11-C5a-24,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0081,11-C5a-25,11,7,B2,semantic_template_repetition_high_level
semantic-replace-0082,11-C6-11,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0083,11-C6-12,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0084,11-C6-13,11,7,A1,semantic_template_repetition_high_level
