id,grade,level,solution_len,topic,task_text
7-F2-1-L6-g678,7,6,11,Комбинаторика и графы,На конференции $9$ человек пожали друг другу руки. Сколько рукопожатий?
8-F2-5-L6-g678,8,6,11,Теория чисел: остатки и диофантовы,На конференции $12$ человек пожали друг другу руки. Сколько рукопожатий?
7-G3-4-L6-g678,7,6,13,Логика и инварианты,Двое ломают шоколадку $9\times1$. Выигрывает последний разлом. Кто?
7-G3-2-L6-g678,7,6,14,Логика и инварианты,Двое ломают шоколадку $16\times1$. Выигрывает последний разлом. Кто?
9-G3-5-L6-gstub,9,6,14,"Логика, инварианты, стратегии",Двое ломают шоколадку $25\times1$. Выигрывает последний разлом. Кто?
11-B1-1-L6-gh5,11,6,19,Тригонометрия и смешанные уравнения,Найдите корни $\sin x=\frac{\sqrt3}{2}$ на $[0;\pi]$.
11-G2-1-L6-gh3,11,6,19,"Комбинаторика, графы, логика",Можно ли прямоугольник $5\times4$ замостить доминошками $1\times2$?
11-F2-4-L6-g911,11,6,20,Теория чисел и диофантовы задачи,Может ли граф на $8$ вершинах иметь все степени равные $7$?
11-G2-2-L6-gh3,11,6,20,"Комбинаторика, графы, логика",Можно ли прямоугольник $3\times3$ замостить доминошками $1\times2$?
8-F2-3-L6-g678,8,6,20,Теория чисел: остатки и диофантовы,Может ли граф на $6$ вершинах иметь все степени равные $5$?
10-G2-8-L6-gf,10,6,21,"Логика, множества, функции и отображения",Можно ли прямоугольник $5\times5$ замостить доминошками $1\times2$?
11-G2-7-L6-gh3,11,6,21,"Комбинаторика, графы, логика",Можно ли прямоугольник $5\times3$ замостить доминошками $1\times2$?
7-F2-3-L6-g678,7,6,21,Комбинаторика и графы,Может ли граф на $10$ вершинах иметь все степени равные $9$?
8-G2-2-L6-g678,8,6,21,"Комбинаторика, логика, инварианты",Можно ли прямоугольник $3\times5$ замостить доминошками $1\times2$?
5-B2-27-L6-g,5,6,26,"Дроби, доли, проценты",От числа $87$ взяли его $\d\frac{1}{2}$. Какое число получили?
8-B2-2-L6-g678,8,6,26,Неравенства и преобразования,От числа $93$ взяли его $\d\frac{1}{2}$. Какое число получили?
5-B1-3-L6-g5,5,6,27,"Дроби, доли, проценты",От числа $120$ взяли его $\d\frac{1}{2}$. Какое число получили?
5-B3-28-L6-g,5,6,27,"Дроби, доли, проценты",От числа $201$ взяли его $\d\frac{1}{3}$. Какое число получили?
6-B1-3-L6-g678,6,6,27,"Дроби, отношения, проценты",От числа $107$ взяли его $\d\frac{1}{2}$. Какое число получили?
6-B2-4-L6-g678,6,6,27,"Дроби, отношения, проценты",От числа $148$ взяли его $\d\frac{1}{5}$. Какое число получили?
6-B3-5-L6-g678,6,6,27,"Дроби, отношения, проценты",От числа $282$ взяли его $\d\frac{1}{3}$. Какое число получили?
7-B1-3-L6-g678,7,6,27,Линейные уравнения и системы,От числа $182$ взяли его $\d\frac{1}{2}$. Какое число получили?
7-B2-5-L6-g678,7,6,27,Линейные уравнения и системы,От числа $176$ взяли его $\d\frac{1}{5}$. Какое число получили?
8-B1-1-L6-g678,8,6,27,Неравенства и преобразования,От числа $105$ взяли его $\d\frac{1}{5}$. Какое число получили?
8-B1-3-L6-g678,8,6,27,Неравенства и преобразования,От числа $222$ взяли его $\d\frac{1}{4}$. Какое число получили?
8-B1-4-L6-g678,8,6,27,Неравенства и преобразования,От числа $238$ взяли его $\d\frac{1}{5}$. Какое число получили?
8-B2-1-L6-g678,8,6,27,Неравенства и преобразования,От числа $289$ взяли его $\d\frac{1}{3}$. Какое число получили?
8-B3-2-L6-g678,8,6,27,Неравенства и преобразования,От числа $189$ взяли его $\d\frac{1}{3}$. Какое число получили?
9-B2-2-L6-g911,9,6,27,"Системы, модули, радикалы, неравенства",От числа $182$ взяли его $\d\frac{1}{3}$. Какое число получили?
9-B2-3-L6-g911,9,6,27,"Системы, модули, радикалы, неравенства",От числа $279$ взяли его $\d\frac{1}{4}$. Какое число получили?
10-F2-2-L6-gh3,10,6,28,"Комбинаторика, графы, вероятностный подсчёт","В графе $6$ вершин, каждая соединена с каждой. Сколько рёбер?"
10-F2-3-L6-g911,10,6,28,"Комбинаторика, графы, вероятностный подсчёт","В графе $5$ вершин, каждая соединена с каждой. Сколько рёбер?"
5-B1-5-L6-g5,5,6,28,"Дроби, доли, проценты",От числа $267$ взяли его $\d\frac{1}{2}$. Какое число получили?
5-B2-28-L6-g,5,6,28,"Дроби, доли, проценты",От числа $204$ взяли его $\d\frac{1}{2}$. Какое число получили?
7-B1-2-L6-g678,7,6,28,Линейные уравнения и системы,От числа $250$ взяли его $\d\frac{1}{2}$. Какое число получили?
7-F2-2-L6-gh2,7,6,28,Комбинаторика и графы,"В графе $8$ вершин, каждая соединена с каждой. Сколько рёбер?"
