task_uid,grade,level,theme_id,solution_style,status,current_stage,error_code,provider,model,llm_calls,fast_path_used,fallback_to_two_call,audit_executed,structured_json_used,base_attempts,aux_attempts,has_aux,aux_reason,base_ops_count,aux_ops_count,base_points_count,aux_points_count,svg_bytes_base,svg_bytes_aux,total_latency_ms,cost_usd,prompt_tokens,completion_tokens
GEN-L123-par27_s2-428077da17e93ad0,9,3,G9_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,240981.9,0.01492215,5205,12288
GEN-L123-w2_71_s6-5a9cdd7e0b9df013,9,1,G9_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,244542.4,0.01492053,5199,12288
REG-d8cd9f277c05383990b58e13,8,2,G8_T16,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,229581.1,0.01491,5160,12288
RG2-04a8ef202822bb265b56bc33,10,2,G10_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,244031.5,0.01496508,5364,12288
GEN-L123-w2_123r_s2-3b807a85021b3cfc,7,2,G7_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,238862.1,0.01490919,5157,12288
0d6906742da7dcdbf7993bd4b9b4ba15e42fa241098a8237a6d07be48344e02f,11,4,G11_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,235917.6,0.0150477,5670,12288
GEN-L123-w2_22_s4-a9c808a8dfb635e1,7,1,G7_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,232988.9,0.01490919,5157,12288
2908b8065bf4e2557a33776c6910d776d8d136d2868f397a5e595622fdf4262c,9,3,G9_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,241415.4,0.01492539,5217,12288
GEN-fill_0558,8,4,G8_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,236572.5,0.01493997,5271,12288
REG-4b14f342d2a6f7a6331ee49b,9,2,G9_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,228628.6,0.01493025,5235,12288
GEN-L123-par27_s6-2b10669528a0cfe7,11,1,G11_T19,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,234210.8,0.01493511,5253,12288
GEN-L123-w2_78_s4-e1a676bdcb62bb97,9,2,G9_T18,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,3,1,0,,12,0,5,0,3322,0,260887.6,0.01657725,8695,12936
GEN-L123-w2_110_s4-63185e6182e0fc21,7,3,G7_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,229832.1,0.01492215,5205,12288
GEN-L123-w2_59_s4-49638f19910d590d,7,1,G7_T19,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,223658.7,0.01492296,5208,12288
GEN-L123-w2_51_s2-3a0986444ca480ea,8,1,G8_T17,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,242009.3,0.01490919,5157,12288
GEN-L123-w2_47_s1-b4f825e2814dfb90,8,3,G8_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,237001.8,0.01492782,5226,12288
057517b926b2f3726a47177c9d4b674ebe1a7672462c850d85098c0f46866434,8,4,G8_T19,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,258713.5,0.01497075,5385,12288
8dc057fea0c9cc9e82ed0ecb54f2c1457ab2432b5e960451fb9241fb22eec133,7,4,G7_T12,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,250806.3,0.01497156,5388,12288
GEN-fill_0440,7,4,G7_T16,constructive,done,done,,deepseek,deepseek-v4-flash,3,0,0,1,0,1,1,1,Для применения биссектрисы угла B и подобия треугольников ABD и ACB.,8,1,3,0,2554,0,126973.4,0.01025543,7069,7588
GEN-fill_0453,7,4,G7_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,219403.5,0.01491324,5172,12288
REG-93afda65f3ff830b7a710287,10,2,G10_T16,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,20,0,6,0,0,0,29168.6,0.00238056,1728,1740
a065b9a960c366e6c6d19dcb6b3f54ad960acebf43e18bed6e2945607aea7a33,10,3,G10_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,232858.5,0.01492458,5214,12288
GEN-L123-w2_87_s2-6f75e4dea267d5d1,11,3,G11_T19,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,243230.0,0.01494807,5301,12288
GEN-L123-w2_100_s3-83800a377724ae4b,9,1,G9_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,231518.0,0.01492215,5205,12288
GEN-L123-w2_4_s2-490dca5f7db66669,10,1,G10_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,239159.5,0.01492701,5223,12288
GEN-L123-w2_48_s4-be5942373c1a3518,11,2,G11_T19,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,234338.0,0.01492539,5217,12288
714cc0aa0592b86f3be9e250213a6890054472638b7cc463a6326e8a11efdd25,11,4,G11_T14,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,230008.0,0.01493968,5274,12287
GEN-L123-w2_1_s4-0cc27d9447fa0b90,10,1,G10_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,227904.1,0.01492053,5199,12288
GEN-L123-par33_s2-263f1cc1ca86026f,7,2,G7_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,235920.0,0.01491486,5178,12288
GEN-L123-w2_15_s1-efc6368644a0b7ed,9,1,G9_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,236882.6,0.0149424,5280,12288
75ac08666a0281bc0d8ec5b11861e24c607696152f0d232e430fccaaa14a415f,10,3,G10_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,226214.3,0.01492701,5223,12288
98cdb758e6bec2caed50bb49a29e9c1d47a0c0c3587f13e80101b2bcf7be8bee,10,4,G10_T16,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,1,2,0,,4,0,3,0,1317,0,174637.7,0.01185145,8185,8765
GEN-L123-par35_s2-d08e496bd7d10c19,11,1,G11_T19,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,246480.4,0.01493835,5265,12288
GEN-L123-w2_84_s5-3f0efcda8d24f382,7,2,G7_T17,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,234423.3,0.01493754,5262,12288
2daa412806a9b958305d29bfb9e14ba6b0347c3e7fc80e9a6bd5c835cd829668,7,4,G7_T14,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,259579.6,0.01495455,5325,12288
PILOT2-fill_0437,7,4,G7_T16,constructive,failed,aux_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,1,3,0,,5,0,3,0,1586,0,304693.5,0.01919962,10736,14819
GEN-L123-w2_31_s6-b6c7d89638e6d2ee,9,2,G9_T17,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,242805.6,0.01493106,5238,12288
GEN-L123-w2_22_s3-caa3d80acfb78ffc,11,1,G11_T19,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,252151.2,0.01491324,5172,12288
GEN-L123-w2_15_s6-fe4b54464dbc7aae,8,1,G8_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,244055.2,0.0149343,5250,12288
GEN-L123-w2_13_s5-f84b117d6e8b5cda,8,2,G8_T18,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,248270.3,0.01491,5160,12288
