id,grade,level,families,solution_len,answer,task_text
5-D1-1-L1-g,5,1,fraction_of_number,26,$24$,Найдите $\d\frac{1}{3}$ от числа 72.
5-D1-4-L1-g,5,1,fraction_of_number,26,$12$,Найдите $\d\frac{1}{7}$ от числа 84.
5-D1-6-L1-g,5,1,fraction_of_number,25,$8$,Найдите $\d\frac{1}{9}$ от числа 72.
5-D1-7-L1-g,5,1,fraction_of_number,26,$36$,Найдите $\d\frac{1}{2}$ от числа 72.
5-D1-9-L1-g,5,1,fraction_of_number,26,$12$,Найдите $\d\frac{1}{8}$ от числа 96.
5-D1-10-L2-g,5,2,fraction_of_number,26,$15$,Найдите $\d\frac{1}{6}$ от числа 90.
5-D1-11-L2-g,5,2,fraction_of_number,26,$24$,Найдите $\d\frac{1}{2}$ от числа 48.
5-D1-12-L2-g,5,2,fraction_of_number,27,$60$,Найдите $\d\frac{1}{2}$ от числа 120.
5-D1-14-L2-g,5,2,fraction_of_number,26,$24$,Найдите $\d\frac{1}{4}$ от числа 96.
5-D1-15-L2-g,5,2,fraction_of_number,27,$40$,Найдите $\d\frac{1}{3}$ от числа 120.
5-D1-16-L2-g,5,2,fraction_of_number,27,$24$,Найдите $\d\frac{1}{6}$ от числа 144.
5-E1-3-L3-g,5,3,handshake,39,$10$,На встрече $5$ человек обменялись рукопожатиями (каждый с каждым). Сколько всего рукопожатий?
5-G6-1-g,5,3,fraction_of_number,45,$6$,Для $x>0$ найдите наименьшее значение $x+\d\frac{9}{x}$.
5-G6-4-g,5,3,fraction_of_number,47,$10$,Для $x>0$ найдите наименьшее значение $x+\d\frac{25}{x}$.
5-G6-5-g,5,3,fraction_of_number,47,$12$,Для $x>0$ найдите наименьшее значение $x+\d\frac{36}{x}$.
5-G6-7-g,5,4,fraction_of_number,49,$20$,Для $x>0$ найдите наименьшее значение $x+\d\frac{100}{x}$.
