task,mode,job_id,status,current_stage,error_code,provider,provider_model_id,llm_calls,fast_path_used,fallback_to_two_call,structured_json_used,audit,truncated,prompt_tokens,completion_tokens,cost_usd,finish_reasons,has_aux,aux_reason,total_latency_ms,stage_base_thinking_ms,stage_base_drawing_ms,stage_aux_thinking_ms,stage_aux_drawing_ms,stage_auditing_ms,base_ops,aux_ops,base_leak,mc_in_base,mc_in_aux,foot_id_ok,right_angle_ok,p_in_aux,dep_order_ok,roles_ok,colors_ok,colors_outside_theme,missing_labels,base_strokes,aux_strokes,aux_points,aux_circles,aux_lines
task1_no_aux,MODE_FAST,1,failed,base_thinking,Модель не смогла создать корректный base-план.,deepseek,deepseek-v4-flash,4,False,False,True,none,True,6306,5600,0.007863,"[""length"", ""length"", ""length"", ""length""]",False,,332962,76231,,,,,[],[],[],False,False,False,False,False,True,True,True,[],[],[],[],0,0,0
task1_no_aux,MODE_TWO_CALL,2,failed,base_thinking,Модель не смогла создать корректный base-план.,deepseek,deepseek-v4-flash,3,False,False,True,none,True,5286,4200,0.006047,"[""length"", ""length"", ""length""]",False,,263721,334158,,,,,[],[],[],False,False,False,False,False,True,True,True,[],[],[],[],0,0,0
task2_altitude,MODE_FAST,3,done,done,,deepseek,deepseek-v4-flash,3,False,False,True,skipped,True,5320,3356,0.005128,"[""length"", ""stop"", ""length""]",True,Для применения свойства высоты к основанию и вычисления углов в прямоугольном треугольнике ABH.,167826,676346,699129,699147,765656,,"[""free_point"", ""free_point"", ""free_point"", ""triangle_arbitrary"", ""equal_segments_mark"", ""angle_label""]","[""altitude"", ""right_angle_mark"", ""point_label""]",[],False,False,True,True,False,True,True,True,[],"[""ang_A"", ""aux_altitude_AH"", ""aux_label_H"", ""aux_right_H"", ""eq_AB_AC"", ""tri_ABC""]","[""#0f172a"", ""#D9E5F5"", ""#a0b8d8"", ""#c8d6e5""]","[""#0f172a"", ""#73B6E6"", ""#D9E5F5"", ""#FFD166"", ""#a0b8d8"", ""#c8d6e5""]",4,0,3
task2_altitude,MODE_TWO_CALL,4,done,done,,deepseek,deepseek-v4-flash,2,False,False,True,skipped,False,4308,1705,0.003039,"[""stop"", ""stop""]",True,Для применения свойства высоты к основанию и прямоугольного треугольника ABH.,53941,765704,788532,788551,819596,,"[""free_point"", ""free_point"", ""free_point"", ""triangle_arbitrary"", ""equal_segments_mark"", ""angle_label""]","[""altitude"", ""right_angle_mark""]",[],False,False,True,True,False,True,True,True,[],"[""ang_A"", ""aux_altitude_AH"", ""aux_right_H"", ""eq_AB_AC"", ""tri_ABC""]","[""#0f172a"", ""#D9E5F5"", ""#a0b8d8"", ""#c8d6e5""]","[""#0f172a"", ""#73B6E6"", ""#D9E5F5"", ""#FFD166"", ""#a0b8d8"", ""#c8d6e5""]",4,0,3
task3_circle_minimal,MODE_FAST,5,done,done,,deepseek,deepseek-v4-flash,1,True,False,True,skipped,True,1020,1400,0.001815,"[""length""]",True,В решении проводится окружность с диаметром AB.,65680,885235,885248,885277,885289,,"[""free_point"", ""free_point"", ""free_point"", ""free_point"", ""triangle_arbitrary""]","[""circle_by_diameter""]",[],False,False,False,False,False,True,True,True,[],"[""omega"", ""tri_ABC""]","[""#0f172a"", ""#D9E5F5"", ""#c8d6e5""]",[],0,0,0
task3_circle_minimal,MODE_TWO_CALL,6,failed,base_thinking,LLM_NO_JSON,deepseek,deepseek-v4-flash,3,False,False,True,none,True,5295,4199,0.006049,"[""length"", ""length"", ""length""]",False,,263913,885337,,,,,[],[],[],False,False,False,False,False,True,True,True,[],[],[],[],0,0,0
task4_explicit_segment,MODE_FAST,7,done,done,,deepseek,deepseek-v4-flash,1,True,False,True,skipped,True,1003,1400,0.001811,"[""length""]",True,,79203,1228390,1228396,1228408,1228415,,"[""free_point"", ""free_point"", ""free_point"", ""midpoint"", ""triangle_arbitrary""]","[""segment""]",[],False,True,False,False,False,True,True,True,[],"[""seg_MC"", ""tri_ABC""]","[""#0f172a"", ""#D9E5F5"", ""#c8d6e5""]","[""#0f172a"", ""#73B6E6"", ""#D9E5F5"", ""#c8d6e5""]",4,0,1
task4_explicit_segment,MODE_TWO_CALL,8,failed,base_thinking,Модель не смогла создать корректный base-план.,deepseek,deepseek-v4-flash,3,False,False,True,none,True,5268,4200,0.006042,"[""length"", ""length"", ""length""]",False,,255125,1228458,,,,,[],[],[],False,False,False,False,False,True,True,True,[],[],[],[],0,0,0
task5_gergonne,MODE_FAST,9,failed,base_thinking,Модель не смогла создать корректный base-план.,deepseek,deepseek-v4-flash,4,False,False,True,none,True,6381,5600,0.007883,"[""length"", ""length"", ""length"", ""length""]",False,,338086,1559518,,,,,[],[],[],False,False,False,False,False,True,True,True,[],[],[],[],0,0,0
task5_gergonne,MODE_TWO_CALL,10,failed,base_thinking,LLM_NO_JSON,deepseek,deepseek-v4-flash,3,False,False,True,none,True,5325,4200,0.006058,"[""length"", ""length"", ""length""]",False,,272160,1821672,,,,,[],[],[],False,False,False,False,False,True,True,True,[],[],[],[],0,0,0
